Ty Dolla $ign	Entergalactic
André 3000	Battle in Seattle
André 3000	Four Brothers
André 3000	High Life
André 3000	Revolver
André 3000	Semi-Pro
The Max Weinberg 7	Late Night with Conan O'Brien
Odessa A'zion	Hellraiser
Wrexham A.F.C.	Welcome to Wrexham
Aadhi	Rangasthalam
Hanne Aagesen	Ordet
Antonio Aakeel	Badla
Antonio Aakeel	I Came By
Aaliyah	Queen of the Damned
Aaliyah	Romeo Must Die
Caroline Aaron	Surveillance
Caroline Aaron	The Marvelous Mrs. Maisel
Lexi Aaron	Please Stand By
Nicholas Aaron	Touching the Void
Quinton Aaron	The Blind Side
Bonnie Aarons	I Know Who Killed Me
Bonnie Aarons	The Nun
Kartik Aaryan	Bhool Bhulaiyaa 2
Kartik Aaryan	Dhamaka
Kartik Aaryan	Freddy
Kartik Aaryan	Love Aaj Kal
Kartik Aaryan	Luka Chuppi
Kartik Aaryan	Pyaar Ka Punchnama
Kartik Aaryan	Pyaar Ka Punchnama 2
Kartik Aaryan	Satyaprem Ki Katha
Kartik Aaryan	Shehzada
Kartik Aaryan	Sonu Ke Titu Ki Sweety
William Abadie	Emily in Paris
Aicha Abadir	Pierrot le fou
Saber Abar	The Frog
Nati Abascal	Bananas
Diego Abatantuono	Mediterraneo
Hamza Ali Abbasi	Waar
Rizz Abbasi	Domino
Shamoon Abbasi	Waar
Hiam Abbass	Ramy
Hiam Abbass	The Nativity Story
Hiam Abbass	The Visitor
Gelareh Abbassi	Shahrzad
Faiza Mouha Abbazi	Song One
Gregory Abbey	Teenage Mutant Ninja Turtles
Gregory Abbey	Yu-Gi-Oh!
Micah Abbey	Teenage Mutant Ninja Turtles: Mutant Mayhem
Amanda Abbington	Mr Selfridge
Amanda Abbington	Sherlock
Bruce Abbott	Bride of Re-Animator
Bruce Abbott	Re-Animator
Bud Abbott	Bud Abbott and Lou Costello Meet Frankenstein
Christopher Abbott	Black Bear
Christopher Abbott	It Comes at Night
Christopher Abbott	Martha Marcy May Marlene
Christopher Abbott	Possessor
Christopher Abbott	Sweet Virginia
Christopher Abbott	The Sinner
Christopher Abbott	The World to Come
Diahnne Abbott	The King of Comedy
Kelsy Abbott	V/H/S/2
Michael Abbott Jr.	Shotgun Stories
Michael Abbott Jr.	The Dark and the Wicked
Ursula Abbott	Chapter 27
Diamand Abou Abboud	L'insulte
Dino Abbrescia	Io non ho paura
Salvatore Abbruzzese	Gomorra
Khalid Abdalla	The Kite Runner
Alexander Abdallah	Snabba cash
Bellamine Abdelmalek	Marianne
Barkhad Abdi	Captain Phillips
Barkhad Abdi	Castle Rock
Barkhad Abdi	Eye in the Sky
Barkhad Abdirahman	Captain Phillips
Rose Abdoo	Hacks
Paula Abdul	American Idol: The Search for a Superstar
Kareem Abdul-Jabbar	Airplane!
Omar Abdulaziz	The Dissident
Bruna Abdullah	Billa 2
Farah Zeynep Abdullah	Bi Küçük Eylül Meselesi
Farah Zeynep Abdullah	Bizim Için Sampiyon
Farah Zeynep Abdullah	Kelebegin Rüyasi
Farah Zeynep Abdullah	Unutursam Fisilda
Melina Abdullah	13th
Reem Abdullah	Wadjda
Rakan Abdulwahed	321 Action
Haruka Abe	Snake Eyes: G.I. Joe Origins
Hiroshi Abe	Aruitemo aruitemo
Hiroshi Abe	Chocolate
Hiroshi Abe	Survive Style 5+
Hiroshi Abe	Umi yori mo mada fukaku
Bamshad Abedi-Amin	My Mad Fat Diary
Huma Abedin	Weiner
Alfred Abel	Metropolis
Jake Abel	The Host
Walter Abel	Fury
Marisa Abela	Industry
Marisa Abela	Rogue Agent
Michael Abela	Alex Strangelove
Alistair Abell	Sausage Party
Sekai Abenì	Paper Girls
Ian Abercrombie	Army of Darkness
Ian Abercrombie	Inland Empire
Karen Abercrombie	War Room
Olive Abercrombie	Outer Range
Betty Aberlin	Jersey Girl
Donzaleigh Abernathy	Gods and Generals
Kent Abernathy	Minding the Gap
Burgess Abernethy	H2O: Just Add Water
Rajesh Abhay	Paan Singh Tomar
Abhinaya	7aum Arivu
Ary Abittan	Qu'est-ce qu'on a fait au bon Dieu?
Simon Abkarian	Ararat
Raymond Ablack	Ginny & Georgia
Raymond Ablack	Love in the Villa
Whitney Able	All the Boys Love Mandy Lane
Whitney Able	Monsters
Amir AboulEla	Barb Wire
Abra	Assassination Nation
F. Murray Abraham	Amadeus
F. Murray Abraham	Finding Forrester
F. Murray Abraham	Guillermo del Toro's Cabinet of Curiosities
F. Murray Abraham	Homeland
F. Murray Abraham	How to Train Your Dragon: The Hidden World
F. Murray Abraham	Last Action Hero
F. Murray Abraham	Mythic Quest: Raven's Banquet
F. Murray Abraham	The Grand Budapest Hotel
F. Murray Abraham	The White Lotus
John Abraham	Attack
John Abraham	Batla House
John Abraham	Desi Boyz
John Abraham	Dhoom
John Abraham	Dostana
John Abraham	Ek Villain Returns
John Abraham	Garam Masala
John Abraham	Housefull 2
John Abraham	Madras Cafe
John Abraham	New York
John Abraham	Parmanu: The Story of Pokhran
John Abraham	Pathaan
John Abraham	Race 2
John Abraham	Satyameva Jayate 2
John Abraham	Taxi No. 9 2 11: Nau Do Gyarah
John Abraham	Water
John Abraham	Wazir
Paul Abrahamian	Big Brother
Jon Abrahams	Prime
Jon Abrahams	Scary Movie
Jared Abrahamson	Travelers
Aaron Abrams	Hannibal
Aaron Abrams	Take This Waltz
Aaron Abrams	Young People Fucking
Austin Abrams	Brad's Status
Austin Abrams	Chemical Hearts
Austin Abrams	Dash & Lily
Austin Abrams	Do Revenge
Austin Abrams	Paper Towns
Austin Abrams	Scary Stories to Tell in the Dark
Gore Abrams	Hell House LLC
J.J. Abrams	The Greatest Movie Ever Sold
Roy Abramsohn	Escape from Tomorrow
Caroline Abras	O Mecanismo
Megan Abrigo	Tosh.0
Andrei Abrikosov	Aleksandr Nevskiy
Victoria Abril	Kika
Victoria Abril	Tacones lejanos
Victoria Abril	Átame!
Jonas Abry	Running on Empty
Joe Absolom	Doc Martin
Joe Absolom	I Spit on Your Grave 2
Omid Abtahi	American Gods
Hamza Abu-Aiaash	Paradise Now
Dania Abu-Rmaileh	Super Size Me
Orion Acaba	Berserk: Ougon jidai-hen II - Dorudorei koryaku
Orion Acaba	Critical Role
Numan Acar	Aus dem Nichts
Numan Acar	Kokowääh
James Acaster	Taskmaster
Frank Acciarito	Bad Lieutenant
Esther Acebo	La casa de papel
Kirk Acevedo	12 Monkeys
Kirk Acevedo	Insidious: The Last Key
Kirk Acevedo	The Black Donnellys
Kirk Acevedo	The Thin Red Line
Moisés Acevedo	Remember Me
Ashutosh Acharya	Manjhi: The Mountain Man
Salil Acharya	Aashiqui 2
Vivienne Acheampong	The Sandman
James Acheson	Kazaam
Amy Acker	Angel
Amy Acker	Dollhouse
Amy Acker	Much Ado About Nothing
Amy Acker	Person of Interest
Amy Acker	The Gifted
Antony Acker	Scary Movie 2
Sharon Acker	Happy Birthday to Me
Ed Ackerman	Frozen
Naomi Ackie	Lady Macbeth
Naomi Ackie	Master of None
Naomi Ackie	The End of the F***ing World
Naomi Ackie	Whitney Houston: I Wanna Dance with Somebody
Joss Ackland	Bill & Ted's Bogus Journey
Joss Ackland	The Mighty Ducks
Jensen Ackles	Batman: The Long Halloween, Part One
Jensen Ackles	Batman: The Long Halloween, Part Two
Jensen Ackles	Dark Angel
Jensen Ackles	My Bloody Valentine
Jensen Ackles	Supernatural
Jensen Ackles	Ten Inch Hero
Allegra Acosta	Runaways
Carlos Acosta	Our Kind of Traitor
José Acosta	Pájaros de verano
Juana Acosta	Perfectos desconocidos
Julian Acosta	Hand of God
Francesco Acquaroli	Suburra - La serie
Pauline Acquart	Naissance des pieuvres
Isabella Acres	Better Off Ted
Samantha Acuña	Control Z
Alden Adair	Cardinal
Can Sertaç Adalier	Gibi
Adam	Deliver Us from Evil
Marie-Christine Adam	Hors de prix
Frank Adamo	The Dick Van Dyke Show
Alora Adams	Gifted Hands: The Ben Carson Story
Amy Adams	American Hustle
Amy Adams	Arrival
Amy Adams	Batman v Superman: Dawn of Justice
Amy Adams	Big Eyes
Amy Adams	Charlie Wilson's War
Amy Adams	Dear Evan Hansen
Amy Adams	Disenchanted
Amy Adams	Doubt
Amy Adams	Enchanted
